contract_name,clause_number,title,text,cluster
Format_for_Non-Disclosure_Areement.pdf,11,ENTIRE AGREEMENT,"11. 
ENTIRE AGREEMENT 
This Agreement represents the intentions of the parties hereto, in entirety, on the subject matter 
hereof, and shall supersede anything outside this Agreement relating to the subject matter hereof.",7
Format_for_Non-Disclosure_Areement.pdf,12,SEVERABILITY,"12. 
SEVERABILITY 
If any part of this Agreement becomes or is discovered to be unlawful and / or unenforceable, 
and if the remaining Agreement could be separated from such part, then the remaining 
Agreement shall be deemed to continue in such reduced form. 
Non-assignment - Save as expressly agreed by the parties hereto in writing, no right or obligation 
under this Agreement can be assigned to any other party. 
 
Waiver - No waiver or modification of this Agreement will be binding upon the parties unless 
made in writing and signed by a duly authorised representative of such parties.  Further, failure 
or delay in enforcing any right under this Agreement shall not amount to a waiver of such right. 
 
Modifications - This Agreement may not be modified except in writing, signed by the parties 
hereto, through their duly authorised representatives. 
 
Jurisdiction & Arbitration - This Agreement shall be governed by and construed in accordance 
with the Laws of India   (without reference to the rules relating to the conflict of laws), under the 
jurisdiction of the Courts at Delhi. 
Any dispute or difference with respect to the construction or interpretation of any of the clauses 
hereof, or as to the meaning or effect thereof, which could not be resolved amicably between the 
parties hereto, shall be referred to arbitration.  The arbitration shall be governed by the 
Arbitration and Conciliation Act, 1996, as amended or re-enacted.  Each party hereto shall 
appoint one arbitrator.  Both these arbitrators shall jointly appoint a third arbitrator.  The Venue 
of arbitration shall be Delhi.   The fees of the arbitrators shall be shared equally. 
 
Related Party Acts - 
a. 
Any act or omission which if it were an act or omission of the VENDOR would be a 
breach of this Agreement on its part, be deemed to be such an act or omission for which the 
VENDOR is responsible when done or omitted to be done by a third party, if - 
i) 
such third party is controlled by or controls, the VENDOR, or 
ii) 
both, such third party and the VENDOR, are under the common control of any other 
party 
 
Two originals 
This Agreement shall be executed in three copies, each of which shall constitute an original, and 
both of which together shall constitute one and the same instrument. 
IN WITNESS WHEREOF, the parties hereto have executed this Agreement by their duly 
authorised representatives, as on the date hereof. 
 
For ___________________________________ 
 
 
 
______________________________________ 
(name & title) 
 
Witnesses:",7
Format_for_Non-Disclosure_Areement.pdf,1,,"1. 
 
 
 
2. 
 
 
 
 
For <Client Company> __________________________________________ 
 
 
 
_______________________________________ 
(name & title) 
 
Witnesses:",9
Format_for_Non-Disclosure_Areement.pdf,1,,"1. 
 
 
2. 
 
 
 
****** End of BRPL NDA (Services) ******",1
nda.pdf,1,Purpose of Disclosure.,"1. 
Purpose of Disclosure. 
 
The purpose of this Agreement is to permit the parties to evaluate whether to enter into a business relationship and 
related projects (the “Purpose”).  In connection with such discussions, Sanmina may disclose Confidential Informa-
tion (defined below) to Recipient.",5
nda.pdf,2,Confidential Information Defined.,"2. 
Confidential Information Defined. 
 
“Confidential Information” shall mean and include (i) samples and prototypes, (ii) all information disclosed 
in any form or medium (e.g., written, verbal, electronic, visual) which (a) has been identified by Sanmina as 
“Confidential,”  “Proprietary” or other appropriate legend indicating the confidential nature of the information or (b) 
would reasonably be understood to be confidential. Confidential Information includes, but is not limited to, 
information regarding pricing, customers and prospective customers, vendors and vendor lists, costed bills of materials, 
processes (including but not limited to manufacturing processes), know-how, designs (including but not limited to 
designs of enclosures and printed circuit boards), formulae, computer programs, databases, methods of operation, sales 
techniques, business methods or plans, marketing plans and strategies, finances, management, plant and equipment, and 
any other business information relating to Sanmina, whether constituting a trade secret, proprietary information or 
otherwise, which has value to Sanmina and is treated by Sanmina as being confidential.",5
nda.pdf,3,Information That Is Not Confidential.,"3. 
Information That Is Not Confidential. 
 
Information in the following categories shall not be considered Confidential Information under this 
Agreement: (a) information which is in the public domain at the time of the receipt under this Agreement; (b) 
information which comes into the public domain after receipt under this Agreement without a breach of this 
Agreement by the Recipient; (c) information which the Recipient can show was in the Recipient’s possession before 
the date of disclosure under this Agreement; (d) information that the Recipient can show was acquired by the 
Recipient from a third party who was not known by the Recipient to be under an obligation of confidence to 
Sanmina; and (e) information which the Recipient can show was independently developed by the Recipient without 
reference to Sanmina’s Confidential Information.",5
nda.pdf,4,Disclosure Period and Termination.,"4. 
Disclosure Period and Termination. 
 
This Agreement controls Confidential Information which is disclosed from the Effective Date until terminated.  
Recipient’s duty of non-disclosure under this Agreement shall extend beyond the term of this Agreement for a period 
of three (3) years from the date of last disclosure. This Agreement may be terminated by either party upon thirty (30) 
days written notice to the other party.  The parties agree that Confidential Information constituting a trade secret shall 
remain subject to the confidentiality obligations of this Agreement for so long as such Confidential Information qualifies 
as a trade secret under applicable law.",5
nda.pdf,5,Duty to Protect.,"5. 
Duty to Protect.     
 
Recipient shall protect the disclosed Confidential Information by using the same degree of care, but no less 
than a reasonable degree of care, to prevent the unauthorized use, dissemination or publication of the Confidential 
Information as the Recipient uses to protect its own Confidential Information of a similar nature.  Recipient shall (i) 
 
 
 
 
2 
NDA Rev. 3-14-14 
Form NDA-3 (Supplier) 
limit access to all Confidential Information to its employees who shall reasonably require access to the Confidential 
Information for the purpose set forth above, (ii) shall insure that all such employees have signed a nondisclosure 
agreement in content substantially similar to this Agreement, (iii) shall use the Confidential Information solely in 
connection with the Purpose, and (iv) shall use due diligence to insure that all such persons comply with the 
provisions of this Agreement.  Recipient shall be liable for any breach of this Agreement by its employees or 
representatives.",5
nda.pdf,6,Court Orders.,"6. 
Court Orders. 
 
Nothing contained in this Agreement shall restrict Recipient from disclosing Confidential Information that 
is required to be disclosed under any subpoena or court order provided that the Recipient provides Sanmina with 
prompt notice so that Sanmina may, at its expense, seek a protective order or take other appropriate measures.",0
nda.pdf,7,No Further Rights or Duties Implied.,"7. 
No Further Rights or Duties Implied. 
 
Sanmina does not warrant that the Confidential Information it discloses, either by itself or when combined 
with other information or when used in a particular manner, will be sufficient or suitable for the Recipient’s 
purposes.   The Confidential Information is provided “AS IS” with all faults.  Sanmina shall not be liable for the 
accuracy or completeness of the Confidential Information.  
 
Nothing contained herein shall grant a license under any patent or other intellectual property right, nor shall 
this Agreement or any transmission of information constitute any representation or warranty to the Recipient with 
respect to infringement of any intellectual property rights of others. 
 
Sanmina has no obligation under this Agreement to purchase any item or service from the Recipient.",0
nda.pdf,8,Return of Confidential Information.,"8. 
Return of Confidential Information. 
 
Within ten (10) days after any written request by Sanmina, the Recipient shall promptly return all copies of 
the Confidential Information except copies required for backup, disaster recovery, or business continuity and in such 
case the obligations hereunder shall survive until such copies are destroyed.",0
nda.pdf,9,Governing Law.,"9. 
Governing Law. 
 
This Agreement shall be governed by and construed in accordance with the laws of the State of California, 
without regard to its conflicts of law principles. The parties agree that the state courts of Santa Clara County, 
California and the federal courts located in the Northern District of the State of California shall have exclusive 
jurisdiction and venue to adjudicate any and all disputes arising out of or in connection with this Agreement. The 
parties consent to the exercise by such courts of personal jurisdiction over them and each party waives any objection 
it might otherwise have to venue, personal jurisdiction, inconvenience of forum, and any similar or related doctrine.",7
nda.pdf,10,Remedies.,"10. 
Remedies. 
 
Recipient agrees that its obligations hereunder are necessary and reasonable in order to protect Sanmina and 
Sanmina’s business, and expressly agrees that monetary damages will be inadequate to compensate Sanmina for any 
breach by either party of any covenants and agreements set forth herein. Accordingly, Recipient agrees and 
acknowledges that any such violation or threatened violation will cause irreparable injury to Sanmina and that, in 
addition to any other remedies that may be available, in law, in equity or otherwise, Sanmina will be entitled to seek 
injunctive relief against the threatened breach of this Agreement or the continuation of any such breach, without the 
necessity of proving actual damages and without the necessity of posting bond.",0
nda.pdf,11,Export Restrictions.,"11. 
Export Restrictions. 
 
 
 
 
 
3 
NDA Rev. 3-14-14 
Form NDA-3 (Supplier) 
Recipient acknowledges its obligations to control access to technical data under the U.S. export laws and 
regulations and agrees to adhere to such laws and regulations with regard to any technical data received under this 
Agreement.",1
nda.pdf,12,Entire Agreement.,"12. 
Entire Agreement. 
 
This document contains the complete and exclusive Agreement between the parties, and it is intended to be 
final expression of their agreement.  No promise, representation, warranty or covenant not included in this document 
has been or is relied upon by any party.  Each party has relied upon its own examination of the warranties, 
representations and covenants expressly contained in the Agreement itself.  No modification or amendment of this 
Agreement shall be of any force unless in writing executed by all parties hereto.",7
nda.pdf,13,Notices.,"13. 
Notices. 
 
Wherever one party is required or permitted or required to give written notice to the other under this 
Agreement, such notice will be given by hand, by certified U.S. mail, return receipt requested, by overnight courier, 
or by fax and addressed to the appropriate officer of such party (with a copy to the Legal Department) at the address 
set forth in the preamble.  All such notices shall be effective upon receipt.  Either party may designate a different 
notice address from time to time upon giving five (5) days’ prior written notice thereof to the other party.",1
nda.pdf,14,Assignment.,"14. 
Assignment. 
 
 
Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either 
party without the written consent of the other party, which consent shall not be unreasonably withheld or delayed.   
 
 
 
Sanmina Corporation 
 
 
 
__________________________________  
 
 
By:______________________________ 
 
By:_______________________________ 
 
Printed Name:______________________ 
 
Printed Name:______________________ 
 
Title:_____________________________ 
 
Title:_____________________________ 
 
 
Date:_____________________________ 
 
Date:_____________________________",9
SampleContract-Shuttle.pdf,1,"Labor (staff name, hours charged, hourly billing rate, current charges and cumulative","1. 
Labor (staff name, hours charged, hourly billing rate, current charges and cumulative 
charges) performed during the billing period by task;",6
SampleContract-Shuttle.pdf,2,Itemized expenses incurred during the billing period;,"2. 
Itemized expenses incurred during the billing period;",6
SampleContract-Shuttle.pdf,3,Total invoice/payment requested;,"3. 
Total invoice/payment requested;",6
SampleContract-Shuttle.pdf,4,Total amount previously paid under this Agreement;,"4. 
Total amount previously paid under this Agreement;",6
SampleContract-Shuttle.pdf,5,Report of expenditures by CONSULTANT and subconsultants for each task and subtask,"5. 
Report of expenditures by CONSULTANT and subconsultants for each task and subtask 
or milestone and estimated percentage completion by such divisions of work;",6
SampleContract-Shuttle.pdf,6,"Written progress reports, in a format to be mutually agreed upon, that is sufficiently","6. 
Written progress reports, in a format to be mutually agreed upon, that is sufficiently 
detailed for the Contract Manager to determine if the CONSULTANT is performing to 
expectations and is on schedule; provides communication of interim findings; addresses 
any difficulties or special problems encountered, so remedies can be developed; and other 
information as requested by COMMISSION.",1
SampleContract-Shuttle.pdf,7,CONSULTANT's final invoice must be submitted within 60-calendar days after,"7. 
CONSULTANT's final invoice must be submitted within 60-calendar days after 
acceptance of the CONSULTANT’s work by the Contract Manager.  
 
I.  For personnel subject to prevailing wage rates as described in the California Labor Code, all salary 
increases, which are the direct result of changes in the prevailing wage rates are reimbursable.",1
SampleContract-Shuttle.pdf,3,TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the,"3. 
TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the 
COMMISSION governing board, and the CONSULTANT shall commence work after notification to 
proceed by the COMMISSION’S Contract Manager. The Agreement shall end on (DATE), unless earlier 
terminated or extended by contract amendment. The CONSULTANT is advised that this Agreement is not 
binding and enforceable until it is fully executed and approved by the COMMISSION's board.",1
